0.45mm_10steps_500ms_1.csv,0.45mm_10steps_500ms_2.csv,0.45mm_40steps_300ms_1.csv,0.45mm_40steps_300ms_2.csv,0.45mm_480steps_300ms.csv,0.45mm_80steps_300ms.csv,single_step_40_300ms_1.csv,single_step_40_300ms_2.csv,triple_step_40_300ms_1.csv,triple_step_40_300ms_2.csv,triple_step_40_300ms_3.csv
11.411,10.866,399.539,70.448,101.718,462.074,23.675,23.71,10.774,10.752,10.752
11.412,10.865,399.901,70.448,101.633,462.08,23.675,23.71,10.775,10.752,10.752
11.412,10.865,400.267,70.448,101.546,462.09,23.675,23.71,10.775,10.752,10.752
11.412,10.866,400.623,70.448,101.435,462.097,23.675,23.71,10.774,10.752,10.752
11.412,10.866,400.976,70.448,101.331,462.111,23.675,23.71,10.774,10.752,10.752
11.412,10.866,401.343,70.448,101.232,462.127,23.675,23.71,10.774,10.752,10.752
11.412,10.865,401.693,70.448,101.125,462.163,23.675,23.71,10.774,10.752,10.752
11.412,10.865,401.991,70.447,101.038,462.215,23.675,23.711,10.774,10.753,10.753
11.412,10.865,402.27,70.447,101.004,462.252,23.675,23.711,10.775,10.753,10.753
11.412,10.865,402.51,70.446,100.982,462.278,23.675,23.711,10.775,10.753,10.753
11.411,10.865,402.691,70.446,100.958,462.287,23.675,23.711,10.775,10.753,10.753
11.412,10.865,402.833,70.446,100.963,462.29,23.675,23.711,10.775,10.753,10.753
11.412,10.865,402.937,70.446,100.963,462.282,23.675,23.711,10.775,10.753,10.753
11.412,10.865,402.989,70.446,100.952,462.27,23.675,23.711,10.775,10.753,10.753
11.412,10.865,403.005,70.447,100.952,462.239,23.675,23.711,10.775,10.753,10.753
11.412,10.865,403.029,70.447,100.961,462.189,23.675,23.711,10.775,10.753,10.753
11.412,10.865,403.038,70.447,100.956,462.153,23.675,23.71,10.774,10.753,10.753
11.412,10.865,403.035,70.447,100.952,462.122,23.675,23.71,10.775,10.753,10.753
11.412,10.865,403.042,70.447,100.955,462.103,23.674,23.71,10.775,10.753,10.753
11.412,10.865,403.047,70.446,100.954,462.093,23.674,23.711,10.775,10.753,10.753
11.412,10.865,403.047,70.445,100.948,462.086,23.674,23.71,10.774,10.753,10.753
11.412,10.865,403.047,70.445,100.949,462.079,23.674,23.711,10.775,10.753,10.753
11.412,10.865,403.052,70.444,100.951,462.075,23.675,23.71,10.774,10.753,10.753
11.412,10.865,403.054,70.444,100.947,462.072,23.675,23.711,10.774,10.753,10.753
11.412,10.865,403.053,70.444,100.945,462.07,23.675,23.711,10.774,10.753,10.753
11.412,10.865,403.055,70.445,100.947,462.068,23.675,23.711,10.774,10.753,10.753
11.412,10.865,403.056,70.445,100.946,462.068,23.675,23.711,10.774,10.752,10.752
11.412,10.865,403.056,70.446,100.945,462.069,23.675,23.711,10.774,10.753,10.753
11.411,10.865,403.056,70.446,100.946,462.072,23.674,23.711,10.774,10.752,10.752
11.411,10.865,403.057,70.445,100.947,462.075,23.674,23.711,10.774,10.752,10.752
11.411,10.865,403.057,70.445,100.945,462.078,23.674,23.711,10.774,10.752,10.752
11.411,10.865,403.056,70.444,100.945,462.082,23.674,23.711,10.774,10.752,10.752
11.411,10.865,403.055,70.444,100.946,462.082,23.674,23.711,10.774,10.752,10.752
